File,Song,Artist,Album,Year,Category,Start Date,End Date,Upload Date,Column J,Column K,Duration,Column M,Column N
DA0000,You                                        ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,04:24.0,0,0
DA0001,I've Been Waitin' On You                   ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,03:37.0,0,0
DA0002,All Because                                ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:37.0,0,0
DA0003,Tired Of Being Alone                       ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:43.0,0,0
DA0004,Right Now Right Now                        ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:43.0,0,0
DA0005,You Say It                                 ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:43.0,0,0
DA0006,Driving Wheel                              ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:53.0,0,0
DA0007,God Is Standing By                         ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:08.0,0,0
DA0008,I Can't Stop                               ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,03:44.0,0,0
DA0009,I Can't Get Next To You                    ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:42.0,0,0
DA000A,I'm A Ram                                  ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:38.0,0,0
DA000B,I'd Write A Letter                         ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,03:48.0,0,0
DA000C,Light My Fire                              ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:48.0,0,0
DA000D,Too Many                                   ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,03:55.0,0,0
DA000E,Are You Lonely For Me Baby                 ,Al Green                         ,Gets Next To You                  ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:51.0,0,0
DA000F,I've Been Thinkin' Bout You                ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,04:00.0,0,0
DA000G,I'd Still Choose You                       ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,03:58.0,0,0
DA000H,Not Tonight                                ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,04:19.0,0,0
DA000I,Play To Win                                ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,04:32.0,0,0
DA000J,Rainin' In My Heart                        ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,04:40.0,0,0
DA000K,A Million To One                           ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,04:47.0,0,0
DA000L,My Problem Is You                          ,Al Green                         ,I Can't Stop                      ,2003,FUS,00/00/00,99/99/99,05/04/23,0,,06:23.0,0,0
DA000M,Shaft Strikes Again                        ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:54.0,0,0
DA000N,Shaft's Cab Ride                           ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,01:01.0,0,0
DA000O,Bumpy's Lament                             ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,01:43.0,0,0
DA000P,The End Theme                              ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,01:53.0,0,0
DA000Q,Walk From Regio's                          ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,18,,02:14.0,0,0
DA000R,Ellie's Love Theme                         ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,21,,03:08.0,0,0
DA000S,A Friend's Place                           ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:07.0,0,0
DA000T,Soulsville (Vocal)                         ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:37.0,0,0
DA000U,Early Sunday Morning                       ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:43.0,0,0
DA000V,Bumpy's Rules                              ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:51.0,0,0
DA000W,Be Yourself                                ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,04:15.0,0,0
DA000X,Theme From Shaft (Vocal)                   ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,04:29.0,0,0
DA000Y,One Woman                                  ,Isaac Hayes                      ,Hot Buttered Soul                 ,1969,FUS,00/00/00,99/99/99,05/04/23,0,,05:00.0,0,0
DA000Z,One                                        ,Isaac Hayes                      ,The Isaac Hayes Movement          ,,FUS,00/00/00,99/99/99,05/04/23,0,,05:44.0,0,0
DA0010,Cafe Regio's                               ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,05:35.0,0,0
DA0011,No Name Bar                                ,Isaac Hayes                      ,Shaft                             ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,06:05.0,0,0
DA0012,I Just Don't Know What To Do With Myself   ,Isaac Hayes                      ,The Isaac Hayes Movement          ,,FUS,00/00/00,99/99/99,05/04/23,0,,06:54.0,0,0
DA0013,Hyperbolicsyllabicsesquedalymistic         ,Isaac Hayes                      ,Hot Buttered Soul                 ,1969,FUS,00/00/00,99/99/99,05/04/23,0,,09:29.0,0,0
DA0014,I Stand Accused                            ,Isaac Hayes                      ,The Isaac Hayes Movement          ,,FUS,00/00/00,99/99/99,05/04/23,0,,11:26.0,0,0
DA0015,Something                                  ,Isaac Hayes                      ,The Isaac Hayes Movement          ,,FUS,00/00/00,99/99/99,05/04/23,0,,11:29.0,0,0
DA0016,Walk On By                                 ,Isaac Hayes                      ,Hot Buttered Soul                 ,1969,FUS,00/00/00,99/99/99,05/04/23,0,,11:56.0,0,0
DA0017,By The Time I Get To Phoenix               ,Isaac Hayes                      ,Hot Buttered Soul                 ,1969,FUS,00/00/00,99/99/99,05/04/23,0,,18:39.0,0,0
DA0018,Do Your Thing (Vocal)                      ,Isaac Hayes                      ,Shaft                             ,,FUS,00/00/00,99/99/99,05/04/23,0,,19:30.0,0,0
DA001J,After The Dance                            ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,04:16.0,0,0
DA001K,I Wanna Be Where You Are                   ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,01:03.0,0,0
DA001L,I Want You                                 ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,00:19.0,0,0
DA001M,I Want You                                 ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,01:39.0,0,0
DA001N,Soon I'll Be Loving You Again              ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,02:54.0,0,0
DA001O,Feel All My Love Inside                    ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,03:13.0,0,0
DA001P,All The Way Around                         ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,03:45.0,0,0
DA001R,I Want You                                 ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,04:27.0,0,0
DA001T,Come Live With Me Angel                    ,Marvin Gaye                      ,I Want You                        ,1976,FUS,00/00/00,99/99/99,05/04/23,0,,06:22.0,0,0
DA001U,I Want To Take You Home (To See Mama)      ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,8,,02:31.0,0,0
DA001V,"Please, Don't Give Up On Me                ",Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,02:27.0,0,0
DA001W,Keeping Down Confusion                     ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,02:34.0,0,0
DA001X,Music To My Ears                           ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,02:37.0,0,0
DA001Y,I Hear The Love Chimes                     ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,1,,02:37.0,0,0
DA001Z,Don't Do It                                ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,02:39.0,0,0
DA0020,Stuck In Chicago                           ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,02:44.0,0,0
DA0021,Diamond in the Rough                       ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,02:49.0,0,0
DA0022,Could I Be Falling In Love                 ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,03:00.0,0,0
DA0023,Let Yourself Go                            ,Syl Johnson                      ,Diamond in the Rough              ,2010,FUS,00/00/00,99/99/99,05/04/23,0,,03:04.0,0,0
DA0024,Buster Browne                              ,Willie Mitchell                  ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:07.0,0,0
DA0025,I Can't Stand The Rain                     ,Ann Peebles                      ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:21.0,0,0
DA0026,Make Me Yours                              ,Ann Peebles                      ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:09.0,0,0
DA0027,Too Much Mystery                           ,Otis Clay                        ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:15.0,0,0
DA0028,A Long Road                                ,O.V. Wright                      ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:21.0,0,0
DA0029,Back For A Taste Of Your Love              ,Syl Johnson                      ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,1,,02:26.0,0,0
DA002A,Slip Away                                  ,Don Bryant                       ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:31.0,0,0
DA002B,She's Looking Good                         ,Don Bryant                       ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:37.0,0,0
DA002C,Trying To Live My Life Without You         ,Otis Clay                        ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:44.0,0,0
DA002D,I'm Glad You're Mine                       ,Al Green                         ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,02:44.0,0,0
DA002E,Let Yourself Go                            ,Syl Johnson                      ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,03:04.0,0,0
DA002G,Steppin' Out                               ,Syl Johnson                      ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,13,,03:12.0,0,0
DA002H,Superstar                                  ,Hi Rhythm                        ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,17,,03:32.0,0,0
DA002I,Sam Stone                                  ,Swamp Dogg                       ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,29,,03:51.0,0,0
DA002J,Here I Am (Come And Take Me)               ,Al Green                         ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,04:06.0,0,0
DA002K,How Can You Mend A Broken Heart            ,Al Green                         ,HI Records Sampler                ,2014,FUS,00/00/00,99/99/99,05/04/23,0,,06:14.0,0,0
DA002L,I Don't Do Windows                         ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,02:13.0,0,0
DA002M,A Long Road                                ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,02:22.0,0,0
DA002N,The Bottom Line                            ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,12,,03:01.0,0,0
DA002O,I Don't Know Why                           ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,12,,03:10.0,0,0
DA002P,Since You Left These Arms Of Mine          ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,03:31.0,0,0
DA002Q,Let's Straighten It Out                    ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,03:40.0,0,0
DA002R,No Easy Way To Say Goodbye                 ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,03:45.0,0,0
DA002S,That's The Way I Feel About Cha            ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:16.0,0,0
DA002T,Your Good Thing Is About To End            ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:47.0,0,0
DA002U,A Little More Time                         ,O.V. Wright                      ,The Bottom Line                   ,2009,FUS,00/00/00,99/99/99,05/04/23,0,,05:08.0,0,0
DA002V,Back In Stride                             ,Mint Condition                   ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:42.0,0,0
DA002W,Joy & Pain Reprise                         ,Instrumental                     ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,1,,00:18.0,0,0
DA002X,Before I Let Go                            ,Mary J. Blige                    ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:28.0,0,0
DA002Y,I Wanna Thank You                          ,"The Clark Sisters, J Moss & Kierr",Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:37.0,0,0
DA002Z,Never Let You Down                         ,Kevon Edmonds                    ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:46.0,0,0
DA0030,We Are One                                 ,Raheem DeVaughn                  ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,04:57.0,0,0
DA0031,Happy Feelin's                             ,Ledisi                           ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,05:04.0,0,0
DA0032,Can't Get Over You                         ,Joe                              ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,05:08.0,0,0
DA0033,Silky Soul                                 ,Musiq Soulchild                  ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,05:12.0,0,0
DA0034,Golden Time of Day                         ,Kem                              ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,05:27.0,0,0
DA0035,Joy & Pain                                 ,Avant                            ,Silky Soul Music...an All-Star Tri,2009,FUS,00/00/00,99/99/99,05/04/23,0,,06:56.0,0,0
DA003O,Butterfly                                  ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,1,,03:43.0,0,0
DA003P,Put Your Records On                        ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,03:29.0,0,0
DA003Q,Trouble Sleeping                           ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,03:19.0,0,0
DA003R,Choux Pastry Heart                         ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,03:52.0,0,0
DA003S,Enchantment                                ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,03:49.0,0,0
DA003T,Like A Star                                ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,1,,03:53.0,0,0
DA003U,I'd Like To                                ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,03:59.0,0,0
DA003V,Breathless                                 ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,1,,04:07.0,0,0
DA003W,Till It Happens To You                     ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,04:33.0,0,0
DA003X,Seasons Change                             ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,04:48.0,0,0
DA003Y,Call Me When You Get This                  ,Corinne Bailey Rae               ,Corinne Bailey Rae                ,2006,FUS,00/00/00,99/99/99,05/04/23,0,,04:49.0,0,0
DA003Z,Intro - Earth Birth                        ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,01:23.0,0,0
DA0040,Portrait Of Tracy                          ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,02:12.0,0,0
DA0041,Nobody Other                               ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,03:14.0,0,0
DA0042,Honeycomb                                  ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,03:38.0,0,0
DA0043,Fairweather Friend                         ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,03:57.0,0,0
DA0044,Gramma Honey                               ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,04:15.0,0,0
DA0045,Francisco                                  ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,04:38.0,0,0
DA0046,The Visitor                                ,Kadhja Bonet                     ,The Visitor                       ,2016,FUS,00/00/00,99/99/99,05/04/23,0,,04:59.0,0,0
DA0047,Call Me (Come Back Home)                   ,Al Green                         ,Greatest Hits                     ,1973,FUS,00/00/00,99/99/99,05/04/23,0,,02:54.0,0,0
DA0048,Look What You Done For Me                  ,Al Green                         ,Greatest Hits                     ,1972,FUS,00/00/00,99/99/99,05/04/23,0,,02:59.0,0,0
DA0049,Tired Of Being Alone                       ,Al Green                         ,Greatest Hits                     ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,02:37.0,0,0
DA004A,I'm Still In Love With You                 ,Al Green                         ,Greatest Hits                     ,1972,FUS,00/00/00,99/99/99,05/04/23,0,,03:06.0,0,0
DA004C,You Ought To Be With Me                    ,Al Green                         ,Greatest Hits                     ,1972,FUS,00/00/00,99/99/99,05/04/23,18,,03:09.0,0,0
DA004D,Let's Get Married                          ,Al Green                         ,Greatest Hits                     ,1973,FUS,00/00/00,99/99/99,05/04/23,9,,03:16.0,0,0
DA004E,I Can't Get Next To You                    ,Al Green                         ,Greatest Hits                     ,1971,FUS,00/00/00,99/99/99,05/04/23,0,,03:45.0,0,0
